date,ticker,Open,High,Low,Close,Volume,fund_flow,fund_flow_normalized
2025-02-10,XLF,51.90999984741211,51.97999954223633,51.189998626708984,51.40999984741211,37921500,-18960750.0,-368814.43408435356
2025-02-11,XLF,51.33000183105469,51.63999938964844,51.02000045776367,51.540000915527344,45162900,9484167.652130127,184015.6671257034
2025-02-12,XLF,51.279998779296875,51.380001068115234,50.91999816894531,51.36000061035156,45473100,3637931.26373291,70831.99416862328
2025-02-13,XLF,51.5,51.77000045776367,51.279998779296875,51.70000076293945,36372200,7274467.749786377,140705.37025989746
2025-02-14,XLF,51.77000045776367,52.02000045776367,51.75,51.79999923706055,29574300,887192.8985595703,17127.27628622867
2025-02-18,XLF,51.880001068115234,52.20000076293945,51.75,52.16999816894531,33496800,9713974.887084961,186198.49009056122
2025-02-19,XLF,52.040000915527344,52.25,51.900001525878906,52.189998626708984,31748500,4762202.333450317,91247.41250736863
2025-02-20,XLF,52.11000061035156,52.150001525878906,51.040000915527344,51.38999938964844,47078900,-33896865.46936035,-659600.4256070929
2025-02-21,XLF,51.40999984741211,51.5,50.650001525878906,50.75,51789900,-34181326.0974884,-673523.6669455844
2025-02-24,XLF,50.9900016784668,51.40999984741211,50.68000030517578,50.970001220703125,56673900,-1133503.9432525635,-22238.64854043115
2025-02-25,XLF,51.27000045776367,51.40999984741211,50.310001373291016,50.959999084472656,50132800,-15541236.846923828,-304969.33136051
2025-02-26,XLF,50.970001220703125,51.31999969482422,50.75,50.849998474121094,31250500,-3750145.8320617676,-73749.18278454454
2025-02-27,XLF,51.029998779296875,51.79999923706055,50.9900016784668,51.130001068115234,44378600,4437961.574554443,86797.60379121065
2025-02-28,XLF,51.38999938964844,52.2599983215332,51.16999816894531,52.18000030517578,63537100,50194367.16995239,961946.4713758073
2025-03-03,XLF,52.31999969482422,52.63999938964844,51.369998931884766,51.7400016784668,76100100,-44137907.04460144,-853071.2333349382
2025-03-04,XLF,51.220001220703125,51.279998779296875,49.63999938964844,49.91999816894531,99342400,-129145423.16894531,-2587047.8346548756
2025-03-05,XLF,49.939998626708984,50.45000076293945,49.560001373291016,50.209999084472656,75561700,20401693.589401245,406327.3045489943
2025-03-06,XLF,49.619998931884766,49.959999084472656,49.060001373291016,49.380001068115234,55477700,-13314529.486846924,-269634.0461491837
2025-03-07,XLF,49.20000076293945,49.33000183105469,48.25,49.119998931884766,87351400,-6988271.94519043,-142269.383085312
2025-03-10,XLF,48.290000915527344,48.61000061035156,47.459999084472656,48.02000045776367,78177700,-21108014.78691101,-439567.15088906995
2025-02-10,XLK,234.66000366210938,236.80999755859375,234.58999633789062,236.22000122070312,3027100,4722268.609619141,19990.97699270211
2025-02-11,XLK,234.91000366210938,237.27999877929688,234.75,236.3300018310547,3228100,4583896.089172363,19396.16660456532
2025-02-12,XLK,233.0,236.10000610351562,232.74000549316406,235.82000732421875,4277800,12063427.331542969,51155.23262179143
2025-02-13,XLK,236.24000549316406,239.30999755859375,235.91000366210938,239.16000366210938,3914800,11431208.83178711,47797.32671328011
2025-02-14,XLK,238.9600067138672,240.1699981689453,238.52000427246094,239.97000122070312,2278500,2301272.4838256836,9589.834029750982
2025-02-18,XLK,241.2100067138672,242.19000244140625,240.08999633789062,242.16000366210938,3012000,2861390.8081054688,11816.116471892788
2025-02-19,XLK,241.88999938964844,243.13999938964844,240.1999969482422,242.17999267578125,2802100,812590.1870727539,3355.315103013526
2025-02-20,XLK,241.9499969482422,242.27000427246094,238.86000061035156,241.41000366210938,2993700,-1616577.9006958008,-6696.3998018841485
2025-02-21,XLK,241.47999572753906,241.5800018310547,234.75,234.8699951171875,4528800,-29935370.764160156,-127455.06614935644
2025-02-24,XLK,235.77999877929688,236.44000244140625,231.22000122070312,231.50999450683594,3723800,-15900641.909790039,-68682.31301919249
2025-02-25,XLK,231.02000427246094,231.22999572753906,226.9499969482422,228.50999450683594,5216800,-13094218.9453125,-57302.60933913235
2025-02-26,XLK,230.75,233.17999267578125,229.22999572753906,231.0,3815300,953825.0,4129.112554112554
2025-02-27,XLK,232.25999450683594,232.5,222.49000549316406,222.58999633789062,5050000,-48833490.75317383,-219387.62548450203
