date,sector,fund_flow,fund_flow_normalized,Volume,Close
2025-02-10,公用事業,3359208.354949951,42527.00906187421,5332100,78.98999786376953
2025-02-10,原物料,-850298.92578125,-9581.912849339917,4475200,88.73999786376953
2025-02-10,工業,1851756.0546875,13364.290468498573,5446400,138.55999755859375
2025-02-10,必需消費品,2225878.2958984375,27879.238451844412,7949600,79.83999633789062
2025-02-10,房地產,-117238.1362915039,-2789.391855734553,3907600,42.029998779296875
2025-02-10,科技業,4722268.609619141,19990.97699270211,3027100,236.22000122070312
2025-02-10,能源業,15005459.371948242,165787.85789180387,12935700,90.51000213623047
2025-02-10,醫療保健業,-2212312.5045776367,-15121.752962609084,7374300,146.3000030517578
2025-02-10,金融業,-18960750.0,-368814.43408435356,37921500,51.40999984741211
2025-02-10,非必需消費品,-387616.0598754883,-1712.4632181287486,2981900,226.35000610351562
2025-02-11,公用事業,3846633.039855957,48452.3626329378,5417800,79.38999938964844
2025-02-11,原物料,1133041.9326782227,12693.72513512772,4720900,89.26000213623047
2025-02-11,工業,2951695.2072143555,21294.965689466415,5787700,138.61000061035156
2025-02-11,必需消費品,5952128.972625732,73838.59232797708,9157100,80.61000061035156
2025-02-11,房地產,1408797.5017547607,33336.43061308217,3276300,42.2599983215332
2025-02-11,科技業,4583896.089172363,19396.16660456532,3228100,236.3300018310547
2025-02-11,能源業,3933959.9716186523,43116.616217949166,13113400,91.23999786376953
2025-02-11,醫療保健業,995194.5037841797,6815.000425277491,6634900,146.02999877929688
2025-02-11,金融業,9484167.652130127,184015.6671257034,45162900,51.540000915527344
2025-02-11,非必需消費品,-3129096.5209960938,-13982.914192801327,2769100,223.77999877929688
2025-02-12,公用事業,6551051.553344727,82663.11108321421,7444400,79.25
2025-02-12,原物料,3087644.6044921875,34841.39594670995,5513600,88.62000274658203
2025-02-12,工業,8617578.430175781,62559.553032129086,7694300,137.75
2025-02-12,必需消費品,6655371.58203125,82624.10092964003,10564000,80.55000305175781
2025-02-12,房地產,3212129.342651367,76661.79536216588,6834300,41.900001525878906
2025-02-12,科技業,12063427.331542969,51155.23262179143,4277800,235.82000732421875
2025-02-12,能源業,-28129070.797729492,-315914.9877414722,19399400,89.04000091552734
2025-02-12,醫療保健業,1060218.9208984375,7270.736988382728,7572200,145.82000732421875
2025-02-12,金融業,3637931.26373291,70831.99416862328,45473100,51.36000061035156
2025-02-12,非必需消費品,6440964.294433594,28787.71849601293,3951500,223.74000549316406
2025-02-13,公用事業,255301.611328125,3214.1710984166916,8510400,79.43000030517578
2025-02-13,原物料,5476080.9158325195,60737.36350272461,5215300,90.16000366210938
2025-02-13,工業,1280812.8814697266,9288.656807158408,8539100,137.88999938964844
2025-02-13,必需消費品,6687277.802276611,82133.11167608487,10132300,81.41999816894531
2025-02-13,房地產,2969009.0560913086,70305.68525395921,7069100,42.22999954223633
2025-02-13,科技業,11431208.83178711,47797.32671328011,3914800,239.16000366210938
2025-02-13,能源業,12777873.486328125,142435.33181062943,15775200,89.70999908447266
2025-02-13,醫療保健業,1762060.317993164,12036.75336662214,6293100,146.38999938964844
2025-02-13,金融業,7274467.749786377,140705.37025989746,36372200,51.70000076293945
2025-02-13,非必需消費品,6192613.873291016,27268.22416054154,3242200,227.10000610351562
2025-02-14,公用事業,-2025946.3958740234,-25612.470732687132,6986000,79.0999984741211
2025-02-14,原物料,-2744947.5303649902,-30550.33474658989,4815700,89.8499984741211
2025-02-14,工業,-3073992.919921875,-22348.18503613687,5800000,137.5500030517578
2025-02-14,必需消費品,-8062095.851898193,-100013.59373346657,10470300,80.61000061035156
2025-02-14,房地產,-1313135.8722686768,-31220.538026481037,4528100,42.060001373291016
2025-02-14,科技業,2301272.4838256836,9589.834029750982,2278500,239.97000122070312
2025-02-14,能源業,258814.55154418945,2873.482318431294,12942900,90.06999969482422
2025-02-14,醫療保健業,-9008623.828125,-62214.251645456985,5299200,144.8000030517578
2025-02-14,金融業,887192.8985595703,17127.27628622867,29574300,51.79999923706055
2025-02-14,非必需消費品,-2946018.0908203125,-12978.053263525606,1712800,227.0
2025-02-18,公用事業,3179314.235687256,39821.071912780266,7754500,79.83999633789062
2025-02-18,原物料,3166528.828430176,34800.84517829214,3557900,90.98999786376953
2025-02-18,工業,4408230.410766602,31798.530300081802,7226600,138.6300048828125
2025-02-18,必需消費品,5737851.837158203,70925.23768769937,10432400,80.9000015258789
2025-02-18,房地產,1461762.5633239746,34630.7177216144,5622200,42.209999084472656
2025-02-18,科技業,2861390.8081054688,11816.116471892788,3012000,242.16000366210938
2025-02-18,能源業,11829965.127563477,129572.45051631695,14787400,91.30000305175781
2025-02-18,醫療保健業,6820149.377441406,47191.73246482544,11366800,144.52000427246094
2025-02-18,金融業,9713974.887084961,186198.49009056122,33496800,52.16999816894531
2025-02-18,非必需消費品,-2156679.7119140625,-9527.233107009566,3783600,226.3699951171875
2025-02-19,公用事業,3190879.365539551,39756.78146785326,6256600,80.26000213623047
2025-02-19,原物料,114115.3564453125,1269.0764987662474,3804000,89.91999816894531
2025-02-19,工業,4538071.865844727,32702.10943378426,9454100,138.77000427246094
2025-02-19,必需消費品,2967411.309814453,36387.62965994138,6450800,81.55000305175781
2025-02-19,房地產,1145413.410949707,27084.733652232037,4405400,42.290000915527344
2025-02-19,科技業,812590.1870727539,3355.315103013526,2802100,242.17999267578125
2025-02-19,能源業,4170259.08203125,45319.052751187795,12265600,92.0199966430664
2025-02-19,醫療保健業,11773302.258300781,80418.73462525809,6295900,146.39999389648438
2025-02-19,金融業,4762202.333450317,91247.41250736863,31748500,52.189998626708984
2025-02-19,非必需消費品,1838340.3411865234,8125.620122662478,1998200,226.24000549316406
2025-02-20,公用事業,2173850.0,27088.473520249223,8695400,80.25
2025-02-20,原物料,148022.9766845703,1650.0164774852917,4934300,89.70999908447266
2025-02-20,工業,-6980025.0,-50631.25612285749,9306700,137.86000061035156
2025-02-20,必需消費品,9556962.707519531,117653.11230537789,14264000,81.2300033569336
2025-02-20,房地產,1144720.613861084,26883.996351221616,3947300,42.58000183105469
2025-02-20,科技業,-1616577.9006958008,-6696.3998018841485,2993700,241.41000366210938
2025-02-20,能源業,14591065.707397461,157129.71797860318,14166100,92.86000061035156
2025-02-20,醫療保健業,6452736.3525390625,43830.568530328426,6264800,147.22000122070312
2025-02-20,金融業,-33896865.46936035,-659600.4256070929,47078900,51.38999938964844
2025-02-20,非必需消費品,-3147050.3326416016,-14031.16691267998,2366200,224.2899932861328
2025-02-21,公用事業,77694.29779052734,967.9120597949901,7773700,80.2699966430664
2025-02-21,原物料,-9058138.481140137,-102851.57843224648,4977000,88.06999969482422
2025-02-21,工業,-46013445.32470703,-341244.7832570658,14561200,134.83999633789062
2025-02-21,必需消費品,17293079.44793701,210429.29403406044,18203300,82.18000030517578
2025-02-21,房地產,-1825959.0957641602,-43238.43513040836,5072100,42.22999954223633
2025-02-21,科技業,-29935370.764160156,-127455.06614935644,4528800,234.8699951171875
2025-02-21,能源業,-21424513.95187378,-235615.46112360767,15638300,90.93000030517578
2025-02-21,醫療保健業,8214623.611450195,56099.324061557854,8647000,146.42999267578125
2025-02-21,金融業,-34181326.0974884,-673523.6669455844,51789900,50.75
2025-02-21,非必需消費品,-29073280.876159668,-133125.51379373154,4521500,218.38999938964844
2025-02-24,公用事業,-4716789.436340332,-59055.83165316947,7487000,79.87000274658203
2025-02-24,原物料,-1512670.5574035645,-17195.29994785959,4727100,87.97000122070312
2025-02-24,工業,-12290046.105957031,-91559.61034896737,10876100,134.22999572753906
